p_val,avg_log2FC,pct.1,pct.2,p_val_adj
3.0839123753823433e-59,3.0682138337745997,1,1,8.168975491150289e-55
1.1047734814492309e-48,3.7934871923296978,1,1,2.926434475010868e-44
3.830920431394424e-46,-0.5211979581920643,1,1,1.0147725130720688e-41
1.3170386755231694e-42,2.8979979888448106,1,1,3.488703747593323e-38
1.2678235482826442e-38,4.6318737670921655,1,1,3.3583377970458963e-34
1.133188695497071e-37,-1.3070252722383078,1,1,3.0017035355021912e-33
1.8089497546874594e-36,3.8255595174351944,1,1,4.7917270051916114e-32
4.7276590383394385e-35,-0.7908667992690352,1,1,1.2523096026657338e-30
6.898665456409959e-35,-0.5828108298661077,1,1,1.827387492748434e-30
8.34821056108428e-34,-0.9914885001444826,1,1,2.2113574955256147e-29
8.375300015130258e-34,5.304456958660957,1,1,2.218533221007854e-29
2.713267102287265e-32,-0.11954852239405334,1,1,7.187173227248735e-28
2.5977866586707064e-31,4.049243519019849,1,1,6.881277080152835e-27
2.872760510489921e-31,3.097016376391551,1,1,7.609655316236752e-27
2.881951874446954e-31,3.309581774536765,1,1,7.634002320222537e-27
1.9749454612818668e-30,-0.8517490414160571,1,1,5.231433032389537e-26
4.060329570203252e-30,4.883211599139008,1,1,1.0755406998511394e-25
9.427892694243572e-30,-1.6918777046376685,1,1,2.4973544957781796e-25
3.669082395413429e-29,4.2219323049106405,1,1,9.719032357210632e-25
1.7142115536199308e-27,-3.343954401217361,1,1,4.5407749843838345e-23
4.5054969023641094e-27,-1.2308838822300876,1,1,1.1934610744672289e-22
6.4387473121935295e-27,-0.05583071672480955,1,1,1.7055597755269441e-22
6.88143415094971e-27,0.27993147510997574,1,1,1.8228230922450688e-22
2.644078492340068e-26,-0.4722623679717941,1,1,7.003899518359607e-22
5.317538100776114e-26,-0.08475761817963523,1,1,1.4085626675145849e-21
1.9779196225698863e-25,3.316332631993842,1,1,5.239311288225372e-21
2.3091798537497834e-25,4.074049162759455,1,1,6.116786514597801e-21
1.9921547737487444e-24,4.387219555139081,1,1,5.277018780183049e-20
5.960613358267311e-24,0.07423139418579172,1,1,1.578906872471428e-19
1.7450388123458312e-23,9.748612176736982,1,0.5,4.622433310022872e-19
2.167641298060309e-23,-0.056216009566548486,1,1,5.741865034431952e-19
3.114068877430556e-23,-0.3539723480931123,1,1,8.248857049425799e-19
3.168383237010937e-23,3.780807380041309,1,1,8.392730356518271e-19
4.2172188491296007e-23,2.82856617989739,1,1,1.1170991009459399e-18
1.1661045866167899e-22,2.189530534686158,1,1,3.0888944394892146e-18
1.1789025633208644e-22,3.867669285810801,1,1,3.1227949999806377e-18
2.068372513596288e-22,2.6027372024491315,1,1,5.478911951265207e-18
5.139066366668283e-22,-0.05362846797052079,1,1,1.3612872898667614e-17
6.831283167815593e-22,2.3507349429477378,1,1,1.8095385983226722e-17
1.0618470993309128e-21,-1.4882864813094825,1,1,2.812726781417655e-17
1.3416467297253922e-21,2.9110967065787294,1,1,3.553888022369591e-17
1.987154848148762e-21,0.14809863898913367,1,1,5.263774477261256e-17
3.8796463367241464e-21,0.12798904427489788,1,1,1.0276795181348591e-16
5.227690166451402e-21,2.881623836998088,1,1,1.384762848191312e-16
5.641127609620398e-21,-0.6337448738074354,1,1,1.4942782925123472e-16
6.851153771522532e-21,2.6977037130713377,1,1,1.8148021225386034e-16
8.46637039620553e-21,3.4205251249172743,1,1,2.242656854250883e-16
1.0141238711679602e-20,0.09826401631486625,1,1,2.6863127223368096e-16
2.298010335978099e-20,-1.1328942704973453,1,1,6.087199578972387e-16
2.4086252651112918e-20,-0.5751147147648092,1,1,6.380207464753301e-16
4.1653815120649874e-20,-0.6402123612866184,1,1,1.1033679087308946e-15
4.8290580681719245e-20,3.0815298854965985,1,1,1.2791691916780612e-15
5.2065554603665885e-20,0.020684154171737745,1,1,1.3791644758965056e-15
9.718204893287631e-20,3.7326060547874618,1,1,2.5742552941829604e-15
1.1025081372036092e-19,-1.426264754702098,1,1,2.9204338046386407e-15
1.5628866293712403e-19,-0.022484014151379128,1,1,4.139930392541478e-15
2.275968995887107e-19,8.433635114744966,1,1,6.028814273205358e-15
2.709584420325432e-19,2.9378613151095267,1,1,7.177418171000038e-15
3.465959563712745e-19,2.2558097757808824,1,1,9.18098028831869e-15
5.675597518590803e-19,-1.6129768768907522,1,1,1.503409026699518e-14
6.106522832615377e-19,-1.4619041043168184,1,1,1.617556833131487e-14
9.669053413378477e-19,6.977279923499917,1,0.75,2.561235558669825e-14
1.0707432752904791e-18,-1.1053530001462288,1,1,2.8362918619169503e-14
1.5006951038248322e-18,2.3536854281986077,1,1,3.975191260521598e-14
3.5988207504526775e-18,2.495479118277772,1,1,9.532916285874098e-14
5.970381336397614e-18,0.5051162887361942,1,1,1.581494312198364e-13
7.278797011324873e-18,2.266711292550881,1,1,1.9280805403298458e-13
9.975682283719146e-18,3.4698859762744645,1,1,2.6424584801343643e-13
1.593175826773557e-17,3.012977853998211,1,1,4.220163447540475e-13
1.6187133013114874e-17,-1.1018796140192135,1,1,4.287809663843999e-13
4.0805599171772817e-17,0.5234331497499864,1,1,1.0808995164610902e-12
4.959676100168226e-17,-0.1475571884138578,1,1,1.3137686021735614e-12
5.769458002971933e-17,2.6115212227435354,1,1,1.5282717304072353e-12
7.02488607516726e-17,2.6513413405105126,1,1,1.8608220724510556e-12
