p_val,avg_log2FC,pct.1,pct.2,p_val_adj
2.0748540874753386e-12,1.545306300369366,1,1,4.4347931265697886e-8
4.679187139904549e-9,2.3370349872775704,1,1,1.0001294592831982e-4
2.443594390838286e-8,1.0289866288808351,1,1,5.222938650977753e-4
6.476719011212797e-8,0.9442695694726018,1,1,0.0013843339214566232
2.0273902525744914e-7,0.9669226027505688,1,1,0.004333343925852718
3.254027415824947e-7,1.286238903361074,1,1,0.006955158198584241
9.942872056442886e-7,0.8234745874208809,1,1,0.021251894733441027
1.1178095810801698e-6,1.6500575289430408,1,1,0.02389206198600755
1.229820793195225e-6,2.8345763907926287,1,0.75,0.026286189633754738
2.0065076539398172e-6,-2.304854581528421,1,1,0.042887094595309656
3.8080119540046517e-6,0.7485426285323316,1,1,0.08139244750489542
4.3311357462189e-6,-1.9307373375628867,1,1,0.09257369543968277
7.506851719528142e-6,2.6683785089087935,1,0.75,0.1604514486531945
9.59913491461387e-6,0.7821763590616069,1,1,0.20517190966495685
1.0266343055580743e-5,1.3007893278292118,1,1,0.2194328164699828
1.2571449663730371e-5,0.881987087200157,1,1,0.26870216511257294
1.8727827058243474e-5,0.857577793693773,1,1,0.400288575542896
1.9966040341270043e-5,0.7118323110133131,1,1,0.4267541462543059
3.142173478905457e-5,0.8723667202741261,1,1,0.6716081593812524
3.461835152944676e-5,5.241585986569759,1,0.5,0.7399326455903951
3.765728883113735e-5,1.62148837674627,1,1,0.8048868914767296
4.733028568898996e-5,-2.3219280948873626,0.75,1,1
4.7902308862542255e-5,0.7061488472412139,1,1,1
6.000790848615493e-5,0.7292972284678108,1,1,1
6.183546667568449e-5,0.651507997390584,1,1,1
6.745708619138453e-5,0.6911807841657369,1,1,1
8.67201532496977e-5,1.1210154009613662,1,1,1
1.1105978524660446e-4,-3.137503523749935,0.75,0.75,1
1.1579777361170419e-4,2.893084796083488,1,0.75,1
1.3021098264125354e-4,0.6107556369740745,1,1,1
1.4173340343598913e-4,-3.700439718141092,0.25,1,1
1.4636386324996621e-4,2.881011963782913,1,0.75,1
1.8203458777630294e-4,3.321928094887362,1,0.5,1
1.8389770735006253e-4,0.7865050549675212,1,1,1
1.9225167609296305e-4,-3.337869638756384,1,1,1
1.971634025732652e-4,0.570315724756755,1,1,1
2.3046562707668578e-4,1.490986352512142,1,0.75,1
3.500078270561584e-4,1.981852653289741,1,0.75,1
3.578187225543439e-4,-4.357552004618084,0.25,1,1
3.6134517636027654e-4,-3.3923174227787602,0.25,1,1
4.498964580264739e-4,0.6230305415546757,1,1,1
4.559290106710424e-4,-1.6918777046376685,1,1,1
4.5936851994698405e-4,0.6460891592827416,1,1,1
5.237992981623863e-4,0.7254239722835152,1,1,1
5.334997704805611e-4,0.6340344206263167,1,1,1
5.411224995165859e-4,0.8964954242461403,1,1,1
5.654288887068401e-4,0.5753862411380739,1,1,1
5.681313515804129e-4,-1.5563933485243848,1,1,1
5.709424776852727e-4,0.651505105827014,1,1,1
6.96988820430507e-4,2.0608822421470223,1,1,1
7.015380753656494e-4,-3,0.5,0.75,1
7.891791681359546e-4,0.6722961666084784,1,1,1
7.960380508160529e-4,0.7041342016988335,1,1,1
7.983177119336202e-4,-0.9017204824195106,1,1,1
8.048818421671775e-4,0.4933952611380805,1,1,1
8.712227169849493e-4,-2.0641303374197157,0.5,1,1
9.073522716381058e-4,3.2854022188622483,1,0.5,1
9.273674455145066e-4,0.8707169830550336,1,1,1
0.00098194078077150815,-1.893084796083488,1,1,1
0.00100379196125089,-0.9491188309978158,1,1,1
0.0011409792911510354,0.47757896534755684,1,1,1
0.0011603303162369602,0.5497730722588567,1,1,1
0.0012099800471503399,-1.0789513413948217,1,1,1
0.001211985889089716,-3,0.25,1,1
0.0012555144332781288,0.9392459689209032,1,1,1
0.0013303744376464651,1.099535673550915,1,0.75,1
0.001521714725348571,1.6076825772212398,1,0.75,1
0.0016123731854324566,-1.5982593233346138,1,1,1
0.0016771648632521634,0.5849625007211561,1,1,1
0.001760896381748735,0.4990158919181962,1,1,1
0.0018424076719135505,-0.7913054283931125,1,1,1
0.0019702969582133362,0.9836981876708997,1,1,1
0.001977025179169554,0.5147600383233017,1,1,1
0.002011867495832135,0.6122944826923513,1,1,1
0.002159042342655211,-3.584962500721156,0,1,1
0.0022157736952982125,0.6169053932239112,1,1,1
0.002243679038341133,0.4637836431770044,1,1,1
0.00288910245468426,0.4726761251467879,1,1,1
0.0030087683314429037,-2.807354922057604,0.5,1,1
0.003148834518968231,0.8110973237434207,1,1,1
0.0031793402648187417,0.5719063478957098,1,1,1
0.0032587269967238237,0.5137390039479532,1,1,1
0.003330493591580932,1.3923174227787607,1,1,1
0.0034035649265334415,-1.5501970825604796,1,1,1
0.003452763732450807,0.7601729853275314,1,1,1
0.0036701800097861835,0.5831998920218968,1,1,1
0.003844186370114257,0.5004942752591832,1,1,1
0.003938685555053395,-2.584962500721156,0.5,1,1
0.004145712905876314,-2.584962500721156,0.5,1,1
0.004517568831123987,-1.4974996594708165,1,1,1
0.004527109770242207,-1.6444902021078853,1,1,1
0.004606346554691272,-1.782408564927373,1,1,1
0.0046190167193846665,-1.2016338611696509,1,1,1
0.004662997137289389,2.678071905112638,1,0.5,1
0.0049163650540947675,0.49092926468430953,1,1,1
0.0049626265132027905,1.4222330006830473,1,1,1
0.005226641268208851,0.3901143125754363,1,1,1
0.005343247815400152,0.42042672870926623,1,1,1
0.005455536943158114,-3.584962500721156,0,0.75,1
0.005704384643739718,0.5179243823293964,1,1,1
0.005947707986328273,-2.584962500721156,0.5,1,1
0.006097640232365198,0.5251603135009848,1,1,1
0.006481983129399405,2.37851162325373,1,0.75,1
0.006890980233558427,-1.584962500721156,1,1,1
0.006912016628271109,0.6577188431564709,1,1,1
0.00694631941921102,0.4777227674947868,1,1,1
0.007914303936722879,1.4405725913859815,1,0.75,1
0.008167513403922124,0.6154348529454259,1,1,1
0.008218311359623906,-2.137503523749935,0.75,0.75,1
0.0082698573209375,-2.3923174227787602,0.5,0.75,1
0.008288518167211949,0.42772275890995903,1,1,1
0.008328478667647878,-2.6629650127224296,0.5,1,1
0.00869126815385378,0.568623763906408,1,1,1
0.008745741021657032,-3.169925001442312,0,1,1
0.008774911917533176,0.4499037452720307,1,1,1
0.008867982734382296,2.1699250014423126,1,0.5,1
0.009157754495280886,2.584962500721156,1,0.5,1
0.00976976841732481,1.6189098326444937,1,0.75,1
0.009797621000527366,-3.700439718141092,0,0.75,1
0.009839890543096256,-1.0250909809628301,1,1,1
0.010061735816983122,-2.137503523749935,0.75,0.75,1
0.010071001279916766,-1.3743955147814977,1,0.75,1
0.010341951256314723,-1.0951572330403403,1,1,1
0.010383323002620352,-2.807354922057604,0.25,0.75,1
0.011158599075774874,-1.548162582518204,1,1,1
0.011168041460101558,-1.1502426355806126,1,1,1
0.011248485862316703,-1.514573172829758,1,1,1
0.011306476998642472,0.49968752029541186,1,1,1
0.011317444964221586,-3.584962500721156,0.25,0.75,1
0.011509445540700115,-0.7489382358322825,1,1,1
0.01160140041178927,0.3837595980238344,1,1,1
0.01186909283287873,-2.0874628412503395,0.75,1,1
0.011873601072633575,-3.4594316186372973,0,0.75,1
0.012008978594943064,0.4525122046975074,1,1,1
0.012108371960765417,-0.4243753638581804,1,1,1
0.012313893413828405,-2.415037499278844,0.5,1,1
0.012663545703679335,1.3219280948873622,1,1,1
0.012787533373621882,0.6138173633933413,1,1,1
0.012870341452068959,1.0943273825481534,1,0.75,1
0.012902574543032985,-2.84799690655495,0.5,1,1
0.013561041082801156,-1.2801079191927354,1,1,1
0.013782383534171671,-3.4594316186372973,0,1,1
0.013864572532623408,0.5180706170659848,1,1,1
0.014080898878776952,-1.938599455335857,1,1,1
0.014428235112320045,0.44360665147561473,1,1,1
0.014572103607054354,-1.777607578663552,0.75,1,1
0.01492911275319917,-1.4739311883324124,1,1,1
0.014985726185223643,0.4094434828056208,1,1,1
0.015118935312313961,3.9068905956085187,0.75,0,1
0.015173217521928295,0.558810212865188,1,1,1
0.015343327189313014,-0.6355885737911242,1,1,1
0.015508322322663099,-1.669851398307669,0.75,1,1
0.01589262980820514,0.4452837861469643,1,1,1
0.016069704522667316,-3,0,1,1
0.01664696169554243,2.736965594166206,1,0.5,1
0.016935682481799337,-2.1255308820838588,1,0.75,1
0.01698047179516009,-1.8579809951275723,1,0.75,1
0.017061411761792555,-1.736965594166206,0.5,1,1
0.01720097112041209,0.733213459305099,1,1,1
0.017215271553184607,1.6374299206152918,1,0.75,1
0.01742963725068795,-1.3388019134517584,1,1,1
0.01752141179629389,1.4043902550793352,1,0.75,1
0.017666945132998723,-0.9526942852216433,1,1,1
0.01798354121900487,-1.2081081953301998,1,1,1
0.018204285159292215,0.4471196789826184,1,1,1
0.018351900811816344,0.626541604472556,1,1,1
0.0183615719282461,-1.106915203916512,1,1,1
0.018773277384914404,0.8771432522144664,1,1,1
0.018910439153587085,0.48443562476719215,1,1,1
0.01904176689402307,2.9068905956085187,1,0.25,1
0.019426340011392863,0.9615258521853645,1,0.75,1
0.01951900856783721,3.700439718141092,1,0,1
0.019606816232006594,0.3357338944123933,1,1,1
0.01990946885802096,-2.321928094887362,0.25,1,1
0.019983307186036033,1.37851162325373,1,0.75,1
0.020014267120203388,0.6383257263198816,1,1,1
0.02006964335457124,-2.169925001442312,0.25,1,1
0.020529432567868402,-3.3219280948873626,0,0.75,1
0.020657229978964724,-3.3219280948873626,0,0.75,1
0.020812695466573144,-1.0951572330403403,1,1,1
0.020893637081156442,0.2850654496973597,1,1,1
0.021402883124471684,-1.8073549220576042,0.5,1,1
0.021455636198359298,-2.115477217419936,0.5,1,1
0.02166859509253798,1.3410369178350672,1,0.75,1
0.02179511694490399,-1.2954558835261714,1,1,1
0.021816346645036438,-1.2344652536370226,1,1,1
0.022191474851220236,0.42321143072454426,1,1,1
0.022611015467270307,0.6740883911941404,1,1,1
0.022756438738838692,-2.415037499278844,0.5,0.75,1
0.023375005281810392,-2.0874628412503395,0.5,0.75,1
0.023444684438184198,-1.263034405833794,1,0.75,1
0.023729629892185446,-3.584962500721156,0,0.75,1
0.023926850020061577,0.9604716358133625,1,0.75,1
0.024017601210367168,0.41785251488589825,1,1,1
0.024307920306529746,-1.3667823306716227,1,0.75,1
0.024337607172555797,-3.4594316186372973,0.25,0.75,1
0.024581677759378046,0.6957429314396926,1,0.75,1
0.02477472907855745,0.4770471615542684,1,1,1
0.025239199894013367,-2.0874628412503395,0.5,0.75,1
0.02537505444538873,-2,0.5,0.75,1
0.025915312834960263,1.4854268271702418,1,0.75,1
0.02596309641536379,-1.3219280948873622,1,0.75,1
0.026081844356036006,-1.405992359675837,1,1,1
0.026087346116677162,0.3517799649891673,1,1,1
0.026152005603624538,-0.569108549520319,1,1,1
0.026435725713168625,0.7553776312800871,1,1,1
0.026885225108095774,-1.0780025120012735,1,1,1
0.02716289970496628,0.4825346877969574,1,1,1
0.027410782135223837,-2.21501289097085,0.75,1,1
0.027524525448118908,-2.169925001442312,0.25,1,1
0.028206959537266495,-2.807354922057604,0,0.75,1
0.028451839343557148,-1.9068905956085185,0.5,1,1
0.028556276982028207,-3,0,0.75,1
0.028561777802410863,-2.169925001442312,0.25,1,1
0.028568308906551744,-1.0193653248669308,1,1,1
0.028944874337778315,-2,0.25,1,1
0.029163271427377787,0.8036027871964966,1,0.75,1
0.029274382779448594,-1.4474589769712214,1,0.75,1
0.02955199853573431,-2.807354922057604,0,1,1
0.029617515364146363,0.5338236517293549,1,1,1
0.029887025280420147,3.4594316186372973,0.75,0,1
0.0299157937260917,0.6463630453853,1,1,1
0.029987252079196825,0.3923174227787607,1,1,1
0.03008165630082018,0.6721144498162381,1,0.75,1
0.030213853749674512,3.700439718141092,0.75,0,1
0.030427303741748693,0.882163509706142,1,0.75,1
0.03043937080164155,-1.9068905956085185,0.25,0.75,1
0.030721928946713082,0.9581798243053727,1,0.75,1
0.030761560442100166,0.8511366140855174,1,0.75,1
0.03160555711852832,1.9999999999999998,1,0.25,1
0.031697077498599534,0.35947416609174354,1,1,1
0.03177675820134736,-1.3219280948873624,0.75,1,1
0.03218526675934296,-1.502500340529183,1,1,1
0.032460433865575365,-2.0588936890535687,1,1,1
0.032462879667643926,-1.5090136474878575,1,0.75,1
0.03247302605522891,-2.169925001442312,0.25,1,1
0.03279157722667439,1.3719687773869578,1,1,1
0.032816108789929646,3.4594316186372973,1,0,1
