umapintegratedsctrpca_1,umapintegratedsctrpca_2,SCT_snn_res.0.8
2.626686394978584,-7.328343870437929,5
2.729384959508003,-7.380972387588808,5
8.45576006250483,-6.474993231094667,2
-0.650074123572289,5.044534204208067,13
8.655862868596138,-6.29651785115082,2
3.2062841065416943,-7.349357130325624,5
2.4997845299730908,12.337701795303037,10
1.9612999566088327,12.37199210902374,10
5.367300093937934,-7.522397997177431,2
3.872766316700996,-9.790737154281924,5
3.1424048550615917,-7.2262611410983295,5
-5.84722417516607,-6.856018068588564,6
-4.42729419393438,-2.0030297062762474,1
3.0031238205919872,-7.161719801224062,5
7.187820018101752,-6.694682123459169,2
4.200735629368842,9.302636144363095,11
-1.4748839728345267,-1.9994015715487692,19
7.712885916997016,-6.800616743362734,2
3.103935063649238,-5.670359613693544,16
3.780776561070503,-9.996364595688174,5
-0.76716315669912,-3.7037055514224266,19
-6.359718739222466,-4.955242159164736,9
2.7743151791582714,-7.669274332321474,5
-0.20829805655378011,10.710891721450498,11
3.950302422810615,9.43521117945831,11
1.7056013949404367,12.871804235183408,10
5.02876049356562,-6.13288784245331,2
3.269790709782661,-5.66664028385956,16
-3.1282884470929493,-6.5239954016574115,6
0.24097721355062815,7.143745897018126,13
-5.477658688258111,-4.872893812454531,9
3.1075761921892773,12.093382833205869,10
-9.521323143671928,-1.0547940752871725,3
-8.553751885127006,-0.13059357026893834,3
0.17927791254621836,11.596020696365049,11
-6.758834301661431,-0.8181231639750693,3
-1.2768625609387747,11.958599088393857,11
6.378484786320747,6.4799108483425885,12
2.514776051808418,12.04536628504913,10
2.0078489192019116,12.95247363825958,10
-0.2246392659654012,10.703713414870908,11
-8.784350334834038,-1.441310765541384,3
2.747764170933784,-7.332490923202822,5
4.668246329594672,-6.481063368118593,2
6.628089011479438,-5.285936834610292,2
2.0321143277178417,-0.9246514461405967,20
6.701306403447211,-5.777506353653261,2
6.998209536839545,4.779100415908506,22
2.142480672169746,12.74255752345245,10
2.004057944584907,11.740235326492002,10
-1.4774997822751395,-2.1910152457125878,19
2.6333010800371777,10.740091321670224,17
11.727745116520943,-2.3212826273806786,0
3.4894827015886913,-9.657264711654971,5
5.500661910344184,-6.5638771078952045,2
6.572300494481147,-7.812700273788759,5
-8.865977226923881,-1.4349342606433126,3
5.999726832676948,-5.636442663467714,2
2.5271046765337597,-6.726603033340761,5
3.085349143315376,-9.261853220260928,5
3.0069504387865673,-7.029432298935244,5
2.0910456784258495,12.41655826350372,10
-8.541669785212456,-0.3629579565890525,3
-8.687347351740776,-0.9120864889987205,9
3.809125722218574,-6.241598608291933,5
-9.685083328913628,-0.5013567231066917,3
-4.2539333693494195,-1.9286699316867086,1
-8.22799581212896,-1.3952899001010153,3
4.815856993962348,-8.996805193222354,5
-0.9015021316518178,5.179483888351133,13
-1.1813052288998953,-3.4892485163577294,19
2.535310328770698,12.816821096145322,10
1.9131584771166452,12.320579526626279,10
4.9664526589403755,-5.979903223312685,2
2.0350427039156567,12.41820907374542,10
6.018844188023627,-6.09007311085541,2
3.8468092091570507,9.43675327082794,11
7.335699141789497,-4.542919161117861,2
-1.4516686789502493,-3.1311204455264305,19
2.646185458470405,-7.474195005691835,5
6.149561465550483,-8.688799860275576,5
3.1359654076586376,-7.924765589035341,5
5.413729251195014,-4.542247297561953,16
-7.924105583857476,-0.011328459105679783,3
11.319422782231392,0.31187402983825463,0
-1.7473337046613089,-4.94232273320038,15
2.5992382176409374,-7.321060182846376,5
2.1814921505938183,12.617508886062314,10
3.8338111050615917,1.5060709693066385,21
2.4557426579485546,-0.46465528229553443,20
6.130136550236762,-5.583122255600283,2
2.2804535038958202,12.149034497939756,10
1.4208063490877756,-3.0968980811007714,26
2.2996996052752148,-1.0780471585162374,20
-7.717226921748101,-1.0700587056048605,3
4.092213691044868,-7.202683450973818,5
1.528591693211616,-3.0288319609530663,26
3.0224917538653027,-6.222200395859072,16
3.581440509129585,1.4291406848065165,21
2.974774897862495,-6.114927294052431,16
1.0885571845064768,12.108152387344052,11
-8.309975563715874,-4.591953756607363,9
4.340101302434028,-8.063659670151065,2
3.8133876927385937,-9.3634548209079,5
4.761612952519477,-7.9072256110079975,5
2.583327830601753,-5.687500479019472,16
5.997808516789497,-6.190164091385195,2
-9.158846794794975,-1.3081982157595846,3
3.387475312520088,9.653208730422666,11
5.115299762059272,-8.962064745224307,5
2.164345563221992,12.48281860133331,10
-1.2744421355237356,-2.9826848528750634,19
1.3688102372179636,10.02746963282745,17
2.8916221268664013,-5.596430303848574,16
-1.4071275584210745,-2.617698671615908,19
1.5921806700716623,-2.981932403839419,26
5.961004794407905,5.7083492257229596,22
-7.8007449500073784,-1.4728300593264791,3
5.249574244786323,-9.020496370590518,5
7.307587207127631,-7.5465946219332904,2
-0.9354974023808827,-3.625461580551455,19
1.401555479336799,11.282749173843076,17
-1.3268190018643728,-3.356606008804629,19
3.8761308796892773,1.4230328776470926,21
4.562875808049262,0.5588785388104226,21
3.754761994648994,1.5987318732373026,21
-1.2888242594708792,-3.304532291687319,19
2.563632310200752,9.973393438064267,11
3.279774010945381,11.737439153396299,10
3.3454700119982372,-6.88868618229706,5
2.7952147133837353,-7.623033048904726,5
2.950229228306831,12.637392995559384,10
0.3954767890463481,1.6467208840481546,14
2.5677650578508984,-8.668847086227725,24
2.406539977360786,10.285349843703916,11
5.973730147648872,5.5134263016812115,22
3.1050279744158398,12.336697576247861,10
6.944803298283637,-7.012820246017763,2
-8.19630807561773,-1.935869576729128,9
-8.366916596125542,-3.222806217468569,9
-13.045863091181694,4.73333644648712,7
6.156442702580512,-5.452898027695009,2
0.7760353692064891,8.254693982803037,13
1.4853072770128855,11.795593259536435,17
3.855674088765205,1.480647561752012,21
3.4576864846239697,11.4653387047879,10
2.6530614502916943,10.680912969314267,17
-7.5829409949292534,-1.966304662025759,3
3.0168872483263622,-5.74856281498749,16
2.7697795041094433,-6.821291448868105,5
-2.380886732767998,-6.610476496017763,15
5.101932586003364,0.16425344129722377,21
-9.603183685969292,-1.1772890112765524,3
4.7068677552233344,0.48089724560897606,21
6.301310599614204,-7.333179476059267,2
7.30146271066767,-5.8104615233309955,2
5.940835536290229,8.139287946426084,12
3.1905980713854443,11.788624761306455,10
4.1495981820116645,0.9731999613873269,21
-0.6813807479848256,5.349748132430723,13
-1.4307693831433645,-3.0345630667575096,19
3.7032538064013134,11.838179586135556,10
-2.0590817324628223,-7.179917337692568,15
3.6986578114519726,-6.183767797745058,5
2.492639363575996,-0.5355663917430137,20
-8.606623589228569,-2.0851438067324852,9
2.6814034588823925,-6.782568933761904,5
4.055989564229072,-5.213299276626894,16
0.08290071675580832,6.902449128829649,13
-8.02987569494146,-0.654950024879763,3
-1.161612450312554,11.61124706050079,11
3.1054471142779003,8.335889814101865,25
-8.679054199885307,-2.1738877318270897,9
0.6053267128954539,11.9606418587796,11
0.4575833685885081,1.5812518574826029,14
-0.19360637588399557,1.9629607178799418,14
4.361153662968696,-9.45559692601044,5
6.011153758336127,-6.922387125290224,2
2.417951405812324,11.342014310561826,10
2.7669072754870068,-5.710765363968203,16
0.0011858426223406437,1.5512448527447489,14
-8.681505142878471,-1.9746203444369528,9
11.757274688054146,-0.37040993789512855,0
4.874974787999213,-8.300885202682803,2
3.502463401127876,-6.475652220047304,5
2.4145177014361034,12.288645742141416,10
-1.242363273333489,-3.4384651205905175,19
2.180200160313667,-1.157356622017214,20
1.0809243329058298,12.433765409194638,10
5.07038360910517,-5.994305136001894,2
4.719802916813911,0.4071533062092568,21
3.697320283223213,-7.421428205765078,5
6.781205237675727,-6.678169729507753,2
